StockCode,StockDescription,SpeciesName1,EcoRegion,ActiveYear1,ExpertGroup
agn.27.nea,"Angel shark (Squatina squatina) in subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)",Squatina squatina,"Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion",2022,WGEF
alf.27.nea,"Alfonsinos (Beryx spp.) in subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)",Beryx,"Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion",2022,WGDEEP
ane.27.8,Anchovy (Engraulis encrasicolus) in Subarea 8 (Bay of Biscay),Engraulis encrasicolus,"Bay of Biscay and the Iberian Coast Ecoregion, Oceanic Northeast Atlantic Ecoregion",2022,WGHANSA
ane.27.9a,Anchovy (Engraulis encrasicolus) in Division 9.a (Atlantic Iberian waters),Engraulis encrasicolus,Bay of Biscay and the Iberian Coast Ecoregion,2022,WGHANSA
anf.27.1-2,"Anglerfish (Lophius budegassa, Lophius piscatorius) in subareas 1 and 2 (Northeast Arctic)","Lophius budegassa, Lophius piscatorius","Arctic Ocean Ecoregion, Barents Sea Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Norwegian Sea Ecoregion",2022,AFWG
anf.27.3a46,"Anglerfish (Lophius budegassa, Lophius piscatorius) in Subareas 4 and 6, and Division 3.a (North Sea, Rockall and West of Scotland, Skagerrak and Kattegat)","Lophius budegassa, Lophius piscatorius","Celtic Seas Ecoregion, Faroes Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion",2022,WGCSE
ank.27.78abd,"Black-bellied anglerfish (Lophius budegassa) in Subarea 7 and divisions 8.a-b and 8.d (Celtic Seas, Bay of Biscay)",Lophius budegassa,"Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion",2022,WGBIE
ank.27.8c9a,"Black-bellied anglerfish (Lophius budegassa) in divisions 8.c and 9.a (Cantabrian Sea, Atlantic Iberian waters)",Lophius budegassa,Bay of Biscay and the Iberian Coast Ecoregion,2022,WGBIE
aru.27.123a4,"Greater silver smelt (Argentina silus) in subareas 1, 2, and 4, and in Division 3.a (Northeast Arctic, North Sea, Skagerrak and Kattegat)",Argentina silus,"Arctic Ocean Ecoregion, Barents Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion",2022,WGDEEP
aru.27.5a14,Greater silver smelt (Argentina silus) in Subarea 14 and Division 5.a (East Greenland and Iceland grounds),Argentina silus,"Greenland Sea Ecoregion, Iceland Sea Ecoregion",2022,WGDEEP
aru.27.5b6a,Greater silver smelt (Argentina silus) in divisions 5.b and 6.a (Faroes grounds and west of Scotland),Argentina silus,"Celtic Seas Ecoregion, Faroes Ecoregion",2022,WGDEEP
aru.27.6b7-1012,"Greater silver smelt (Argentina silus) in subareas 7-10 and 12, and Division 6.b (other areas)",Argentina silus,"Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion",2022,WGDEEP
bli.27.5a14,Blue ling (Molva dypterygia) in Subarea 14 and Division 5.a (East Greenland and Iceland grounds),Molva dypterygia,"Greenland Sea Ecoregion, Iceland Sea Ecoregion",2022,WGDEEP
bli.27.5b67,Blue ling (Molva dypterygia) in subareas 6-7 and Division 5.b (Celtic Seas and Faroes grounds),Molva dypterygia,"Celtic Seas Ecoregion, Faroes Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion",2022,WGDEEP
bli.27.nea,"Blue ling (Molva dypterygia) in Subareas 1, 2, 8, 9, and 12, and Divisions 3.a and 4.a (other areas)",Molva dypterygia,"Arctic Ocean Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion",2022,WGDEEP
bll.27.22-32,Brill (Scophthalmus rhombus) in subdivisions 22-32 (Baltic Sea),Scophthalmus rhombus,Baltic Sea Ecoregion,2022,WGBFAS
bll.27.3a47de,"Brill (Scophthalmus rhombus) in Subarea 4 and divisions 3.a and 7.d-e (North Sea, Skagerrak and Kattegat, English Channel)",Scophthalmus rhombus,"Celtic Seas Ecoregion, Greater North Sea Ecoregion",2022,WGNSSK
boc.27.6-8,"Boarfish (Capros aper) in subareas 6-8 (Celtic Seas, English Channel, and Bay of Biscay) ",Capros aper,"Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion",2022,WGWIDE
bsf.27.nea,"Black scabbardfish (Aphanopus carbo) in subareas 1, 2, 4-8, 10, and 14, and divisions 3.a, 9.a, and 12.b (Northeast Atlantic and Arctic Ocean) ",Aphanopus carbo,"Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion",2022,WGDEEP
bsk.27.nea,"Basking shark (Cetorhinus maximus) in Subareas 1-10, 12 and 14 (Northeast Atlantic and adjacent waters)",Cetorhinus maximus,"Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion",2022,WGEF
bss.27.4bc7ad-h,"Seabass (Dicentrarchus labrax) in Divisions 4.b-c, 7.a, and 7.d-h (central and southern North Sea, Irish Sea, English Channel, Bristol Channel, and Celtic Sea)",Dicentrarchus labrax,"Celtic Seas Ecoregion, Greater North Sea Ecoregion",2022,WGCSE
bss.27.6a7bj,"Seabass (Dicentrarchus labrax) in divisions 6.a, 7.b, and 7.j (West of Scotland,  West of Ireland, eastern part of southwest of Ireland)",Dicentrarchus labrax,Celtic Seas Ecoregion,2022,WGCSE
bss.27.8ab,Seabass (Dicentrarchus labrax) in divisions 8.a-b (northern and central Bay of Biscay),Dicentrarchus labrax,Bay of Biscay and the Iberian Coast Ecoregion,2022,WGBIE
bss.27.8c9a,Seabass (Dicentrarchus labrax) in divisions 8.c and 9.a (southern Bay of Biscay and Atlantic Iberian waters),Dicentrarchus labrax,Bay of Biscay and the Iberian Coast Ecoregion,2022,WGBIE
bwp.27.2729-32,Baltic flounder (Platichthys solemdali) in subdivisions 27 and 29–32 (northern central and northern Baltic Sea),Platichthys solemdali,Baltic Sea Ecoregion,2022,WGBFAS
bzq.27.2425,Flounder (Platichthys spp) in subdivisions 24 and 25 (west of Bornholm and southwestern central Baltic),Platichthys,Baltic Sea Ecoregion,2022,WGBFAS
bzq.27.2628,Flounder (Platichthys spp) in subdivisions 26 and 28 (east of Gotland and Gulf of Gdansk),Platichthys,Baltic Sea Ecoregion,2022,WGBFAS
caa.27.5a,Atlantic wolffish (Anarhichas lupus)  in Division 5.a (Iceland grounds),Anarhichas lupus,"Greenland Sea Ecoregion, Iceland Sea Ecoregion",2022,WGDEEP
cap.27.1-2,"Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)",Mallotus villosus,"Arctic Ocean Ecoregion, Barents Sea Ecoregion, Norwegian Sea Ecoregion",2022,AFWG
cap.27.2a514,"Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",Mallotus villosus,"Arctic Ocean Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion",2022,NWWG
cod.21.1,"Cod (Gadus morhua) in NAFO Subarea 1, inshore (West Greenland cod)",Gadus morhua,"Arctic Ocean Ecoregion, Greenland Sea Ecoregion",2022,NWWG
cod.21.1a-e,"Cod (Gadus morhua) in NAFO divisions 1.A-E, offshore (West Greenland)",Gadus morhua,"Arctic Ocean Ecoregion, Greenland Sea Ecoregion",2022,NWWG
cod.2127.1f14,"Cod (Gadus morhua) in ICES Subarea 14 and NAFO Division 1.F (East Greenland, South Greenland)",Gadus morhua,"Arctic Ocean Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion",2022,NWWG
cod.27.1-2,Cod (Gadus morhua) in subareas 1 and 2 (Northeast Arctic),Gadus morhua,"Arctic Ocean Ecoregion, Barents Sea Ecoregion, Norwegian Sea Ecoregion",2022,AFWG
cod.27.1-2.coastN,"Cod (Gadus morhua) in subareas 1 and 2, north of 67°N (Norwegian Sea and Barents Sea), northern Norwegian coastal cod ",Gadus morhua,"Arctic Ocean Ecoregion, Barents Sea Ecoregion, Norwegian Sea Ecoregion",2022,AFWG
cod.27.2.coastS,"Cod (Gadus morhua) in Subarea 2 between 62°N and 67°N (Norwegian Sea), southern Norwegian coastal cod ",Gadus morhua,Norwegian Sea Ecoregion,2022,AFWG
cod.27.21,Cod (Gadus morhua) in Subdivision 21 (Kattegat),Gadus morhua,Greater North Sea Ecoregion,2022,WGBFAS
cod.27.22-24,"Cod (Gadus morhua) in subdivisions 22-24, western Baltic stock (western Baltic Sea)",Gadus morhua,Baltic Sea Ecoregion,2022,WGBFAS
cod.27.24-32,"Cod (Gadus morhua) in subdivisions 24-32, eastern Baltic stock (eastern Baltic Sea)",Gadus morhua,Baltic Sea Ecoregion,2022,WGBFAS
cod.27.47d20,"Cod (Gadus morhua) in Subarea 4, Division 7.d, and Subdivision 20 (North Sea, eastern English Channel, Skagerrak)",Gadus morhua,Greater North Sea Ecoregion,2022,WGNSSK
cod.27.5a,Cod (Gadus morhua) in Division 5.a (Iceland grounds),Gadus morhua,"Greenland Sea Ecoregion, Iceland Sea Ecoregion",2022,NWWG
cod.27.5b1,Cod (Gadus morhua) in Subdivision 5.b.1 (Faroe Plateau),Gadus morhua,Faroes Ecoregion,2022,NWWG
cod.27.5b2,Cod (Gadus morhua) in Subdivision 5.b.2 (Faroe Bank),Gadus morhua,Faroes Ecoregion,2022,NWWG
cod.27.6a,Cod (Gadus morhua) in Division 6.a (West of Scotland),Gadus morhua,Celtic Seas Ecoregion,2022,WGCSE
cod.27.6b,Cod (Gadus morhua) in Division 6.b (Rockall),Gadus morhua,"Celtic Seas Ecoregion, Oceanic Northeast Atlantic Ecoregion",2022,WGCSE
cod.27.7a,Cod (Gadus morhua) in Division 7.a (Irish Sea),Gadus morhua,Celtic Seas Ecoregion,2022,WGCSE
cod.27.7e-k,Cod (Gadus morhua) in divisions 7.e-k (eastern English Channel and southern Celtic Seas),Gadus morhua,"Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion",2022,WGCSE
cyo.27.nea,"Portuguese dogfish (Centroscymnus coelolepis, Centrophorus squamosus) in subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)","Centrophorus squamosus, Centroscymnus coelolepis","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion",2022,WGEF
dab.27.22-32,Dab (Limanda limanda) in subdivisions 22-32 (Baltic Sea),Limanda limanda,Baltic Sea Ecoregion,2022,WGBFAS
dab.27.3a4,"Dab (Limanda limanda) in Subarea 4 and Division 3.a (North Sea, Skagerrak and Kattegat)",Limanda limanda,Greater North Sea Ecoregion,2022,WGNSSK
dgs.27.nea,"Spurdog (Squalus acanthias) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)",Squalus acanthias,"Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion",2022,WGEF
ele.2737.nea,European eel (Anguilla anguilla) throughout its natural range,Anguilla anguilla,"Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Baltic Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion",2022,WGEEL
fle.27.2223,Flounder (Platichthys flesus) in subdivisions 22 and 23 (Belt Seas and the Sound),Platichthys flesus,Baltic Sea Ecoregion,2022,WGBFAS
fle.27.3a4,"Flounder (Platichthys flesus) in Subarea 4 and Division 3.a (North Sea, Skagerrak and Kattegat)",Platichthys flesus,Greater North Sea Ecoregion,2022,WGNSSK
gag.27.nea,"Tope (Galeorhinus galeus) in subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)",Galeorhinus galeus,"Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion",2022,WGEF
gfb.27.nea,"Greater forkbeard (Phycis blennoides) in subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)",Phycis blennoides,"Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion",2022,WGDEEP
ghl.27.1-2,Greenland halibut (Reinhardtius hippoglossoides) in subareas 1 and 2 (Northeast Arctic),Reinhardtius hippoglossoides,"Arctic Ocean Ecoregion, Barents Sea Ecoregion, Norwegian Sea Ecoregion",2022,AFWG
ghl.27.561214,"Greenland halibut (Reinhardtius hippoglossoides) in subareas 5, 6, 12, and 14 (Iceland and Faroes grounds, West of Scotland, North of Azores, East of Greenland)",Reinhardtius hippoglossoides,"Arctic Ocean Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion",2022,NWWG
gug.27.3a47d,"Grey gurnard (Eutrigla gurnardus) in Subarea 4 and divisions 7.d and 3.a (North Sea, eastern English Channel, Skagerrak and Kattegat)",Eutrigla gurnardus,Greater North Sea Ecoregion,2022,WGNSSK
