AssessmentKey,AssessmentYear,FishStock,StockDatabaseID,StockKey,Purpose,Year,StockDescription,ICES Areas (splited with character '~'),SpeciesName,SGName,Report,Low_Recruitment,Recruitment,High_Recruitment,UnitOfRecruitment,RecruitmentDescription,Low_TBiomass,TBiomass,High_TBiomass,TotalBiomassUnits,Low_StockSize,StockSize,High_StockSize,StockSizeDescription,StockSizeUnits,CatchesLadingsUnits,Landings,OfficialLandings,Catches,Discards,IBC,Unallocated_Removals,YieldSSB,Low_FishingPressure,FishingPressure,High_FishingPressure,FishingPressureDescription,FishingPressureUnits,F_Landings,F_Discards,F_IBC,F_Unallocated,Flim,Fpa,Blim,Bpa,FMSY,MSYBtrigger,Fmanagement,Bmanagement,RecruitmentAge,RecruitmentLength,FAge,FLength,TypeStock,FupperWithAR,FupperWithoutAR,FlowerWithoutAR,FlowerWithAR,Published,CustomRefPointName1,CustomRefPointValue1,CustomRefPointNotes1,CustomRefPointName2,CustomRefPointValue2,CustomRefPointNotes2,CustomRefPointName3,CustomRefPointValue3,CustomRefPointNotes3,CustomRefPointName4,CustomRefPointValue4,CustomRefPointNotes4,CustomRefPointName5,CustomRefPointValue5,CustomRefPointNotes5,Custom1,CustomName1,CustomUnits1,Custom2,CustomName2,CustomUnits2,Custom3,CustomName3,CustomUnits3,Custom4,CustomName4,CustomUnits4,Custom5,CustomName5,CustomUnits5,Custom6,CustomName6,CustomUnits6,Custom7,CustomName7,CustomUnits7,Custom8,CustomName8,CustomUnits8,Custom9,CustomName9,CustomUnits9,Custom10,CustomName10,CustomUnits10,Custom11,CustomName11,CustomUnits11,Custom12,CustomName12,CustomUnits12,Custom13,CustomName13,CustomUnits13,Custom14,CustomName14,CustomUnits14,Custom15,CustomName15,CustomUnits15,Custom16,CustomName16,CustomUnits16,Custom17,CustomName17,CustomUnits17,Custom18,CustomName18,CustomUnits18,Custom19,CustomName19,CustomUnits19,Custom20,CustomName20,CustomUnits20,ConfidenceIntervalDefinition,
16936,2022,san.sa.1r,3185,169246,Advice,1983,Sandeel (Ammodytes spp.) in divisions 4.b and 4.c. Sandeel Area 1r (central and southern North Sea. Dogger Bank),27.4.b ~ 27.4.c,Ammodytes,,https://doi.org/10.17895/ices.advice.10000,217292229,299013715,411469855,thousands,Recruitment,,,,,321762,460929,660290,SSB,tonnes,tonnes,,,382629,,,,,0.488,0.601,0.74,F,Year-1,,,,,,,110000,145000,,,,,0,,1-2,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90%,
16936,2022,san.sa.1r,3185,169246,Advice,1984,Sandeel (Ammodytes spp.) in divisions 4.b and 4.c. Sandeel Area 1r (central and southern North Sea. Dogger Bank),27.4.b ~ 27.4.c,Ammodytes,,https://doi.org/10.17895/ices.advice.10000,54853341,75981466,105247612,thousands,Recruitment,,,,,140258,196025,273966,SSB,tonnes,tonnes,,,498671,,,,,0.551,0.679,0.836,F,Year-1,,,,,,,110000,145000,,,,,0,,1-2,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90%,
16936,2022,san.sa.1r,3185,169246,Advice,1985,Sandeel (Ammodytes spp.) in divisions 4.b and 4.c. Sandeel Area 1r (central and southern North Sea. Dogger Bank),27.4.b ~ 27.4.c,Ammodytes,,https://doi.org/10.17895/ices.advice.10000,376390273,512084393,696698200,thousands,Recruitment,,,,,332133,453160,618287,SSB,tonnes,tonnes,,,460057,,,,,0.589,0.725,0.894,F,Year-1,,,,,,,110000,145000,,,,,0,,1-2,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90%,
16936,2022,san.sa.1r,3185,169246,Advice,1986,Sandeel (Ammodytes spp.) in divisions 4.b and 4.c. Sandeel Area 1r (central and southern North Sea. Dogger Bank),27.4.b ~ 27.4.c,Ammodytes,,https://doi.org/10.17895/ices.advice.10000,55918009,77593949,107672304,thousands,Recruitment,,,,,209074,270493,349955,SSB,tonnes,tonnes,,,382844,,,,,0.397,0.487,0.598,F,Year-1,,,,,,,110000,145000,,,,,0,,1-2,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90%,
16936,2022,san.sa.1r,3185,169246,Advice,1987,Sandeel (Ammodytes spp.) in divisions 4.b and 4.c. Sandeel Area 1r (central and southern North Sea. Dogger Bank),27.4.b ~ 27.4.c,Ammodytes,,https://doi.org/10.17895/ices.advice.10000,33553908,47393706,66941932,thousands,Recruitment,,,,,723303,973838,1311153,SSB,tonnes,tonnes,,,373021,,,,,0.308,0.38,0.469,F,Year-1,,,,,,,110000,145000,,,,,0,,1-2,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90%,
16936,2022,san.sa.1r,3185,169246,Advice,1988,Sandeel (Ammodytes spp.) in divisions 4.b and 4.c. Sandeel Area 1r (central and southern North Sea. Dogger Bank),27.4.b ~ 27.4.c,Ammodytes,,https://doi.org/10.17895/ices.advice.10000,150650237,206539038,283161681,thousands,Recruitment,,,,,427124,574928,773879,SSB,tonnes,tonnes,,,422805,,,,,0.43,0.527,0.647,F,Year-1,,,,,,,110000,145000,,,,,0,,1-2,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90%,
16936,2022,san.sa.1r,3185,169246,Advice,1989,Sandeel (Ammodytes spp.) in divisions 4.b and 4.c. Sandeel Area 1r (central and southern North Sea. Dogger Bank),27.4.b ~ 27.4.c,Ammodytes,,https://doi.org/10.17895/ices.advice.10000,67120933,92618550,127802093,thousands,Recruitment,,,,,122943,154662,194566,SSB,tonnes,tonnes,,,446129,,,,,0.704,0.808,0.928,F,Year-1,,,,,,,110000,145000,,,,,0,,1-2,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90%,
16936,2022,san.sa.1r,3185,169246,Advice,1990,Sandeel (Ammodytes spp.) in divisions 4.b and 4.c. Sandeel Area 1r (central and southern North Sea. Dogger Bank),27.4.b ~ 27.4.c,Ammodytes,,https://doi.org/10.17895/ices.advice.10000,95963816,131169377,179290552,thousands,Recruitment,,,,,190513,247707,322071,SSB,tonnes,tonnes,,,306302,,,,,0.703,0.807,0.927,F,Year-1,,,,,,,110000,145000,,,,,0,,1-2,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90%,
16936,2022,san.sa.1r,3185,169246,Advice,1991,Sandeel (Ammodytes spp.) in divisions 4.b and 4.c. Sandeel Area 1r (central and southern North Sea. Dogger Bank),27.4.b ~ 27.4.c,Ammodytes,,https://doi.org/10.17895/ices.advice.10000,119850771,163938186,224243270,thousands,Recruitment,,,,,255217,330050,426826,SSB,tonnes,tonnes,,,332204,,,,,0.496,0.574,0.665,F,Year-1,,,,,,,110000,145000,,,,,0,,1-2,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90%,
16936,2022,san.sa.1r,3185,169246,Advice,1992,Sandeel (Ammodytes spp.) in divisions 4.b and 4.c. Sandeel Area 1r (central and southern North Sea. Dogger Bank),27.4.b ~ 27.4.c,Ammodytes,,https://doi.org/10.17895/ices.advice.10000,26681455,37021153,51367729,thousands,Recruitment,,,,,221944,284361,364332,SSB,tonnes,tonnes,,,558602,,,,,0.727,0.836,0.961,F,Year-1,,,,,,,110000,145000,,,,,0,,1-2,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90%,
